Component 1	Component 2	Topic ID	Author	URL	Title	Share Count
-0.000293744834074	0.00189772061647	9	Charles Blow	http://www.nytimes.com/2016/03/31/opinion/campaign-stops/bernie-or-bust-is-bonkers.html	‘Bernie or Bust’ Is Bonkers	6308
0.000168694214735	-0.000467065891714	1	The Editorial Board	http://www.nytimes.com/2016/03/31/opinion/a-marred-election-in-the-republic-of-congo.html	A Marred Election in the Republic of Congo	466
0.000935987069967	-0.00170396502876	9	Thomas Edsall	http://www.nytimes.com/2016/03/30/opinion/campaign-stops/who-are-the-angriest-republicans.html	Who Are the Angriest Republicans?	1493
0.00106653139883	-0.000518669544119	5	The Editorial Board	http://www.nytimes.com/2016/03/30/opinion/dont-let-albany-ethics-reform-slip-away.html	Don’t Let Albany Ethics Reform Slip Away	44
0.000222488690052	0.00659126491936	1	Abdu Mansour	http://www.nytimes.com/2016/03/30/opinion/yemens-president-a-path-to-peace.html	Yemen’s President: A Path to Peace	211
-0.00146672435714	0.000407399168383	10	Roger Cohen	http://www.nytimes.com/2016/03/29/opinion/donald-trumps-new-world-disorder.html	Trump's New World Disorder	397
0.000754912658266	-0.00144174403496	4	Terry Williams	http://www.nytimes.com/2016/03/29/opinion/keeping-my-fossil-fuel-in-the-ground.html	Keeping My Fossil Fuel in the Ground	1720
0.00130990812677	-0.000928784099058	9	Emma Roller	http://www.nytimes.com/2016/03/29/opinion/campaign-stops/the-league-of-mens-voters.html	The League of Men Voters	413
0.000325491837219	-0.00053718660479	2	Charles Blow	http://www.nytimes.com/2016/03/28/opinion/republican-self-destruction.html	Republican Self-Destruction	675
-0.000282962178449	-0.00201072728228	7	The Editorial Board	http://www.nytimes.com/2016/03/28/opinion/the-state-assault-on-planned-parenthood.html	The State Assault on Planned Parenthood	1429
0.00298837327404	-0.00108103796915	5	Bryce Covert	http://www.nytimes.com/2016/03/28/opinion/campaign-stops/whats-more-american-than-inheriting-a-fortune.html	What’s More American Than Inheriting a Fortune?	284
-0.004711620315	0.000813525309199	10	Paul Krugman	http://www.nytimes.com/2016/03/28/opinion/trade-labor-and-politics.html	Trade, Labor, and Politics	818
7.8131116487e-05	0.00168528427842	6	Lin-Manuel Miranda	http://www.nytimes.com/2016/03/28/opinion/lin-manuel-miranda-give-puerto-rico-its-chance-to-thrive.html	Lin-Manuel Miranda: Give Puerto Rico Its Chance to Thrive	6219
-0.00154573299177	0.00475710541648	1	Saleem Jubouri	http://www.nytimes.com/2016/03/28/opinion/international/keep-the-militias-out-of-mosul.html	Keep the Militias Out of Mosul	486
0.000791448725435	-0.000823803439886	9	Nate Cohn	http://www.nytimes.com/2016/03/27/upshot/trumps-secret-weapon-blue-state-voters.html	Donald Trump’s Secret Weapon: Blue-State Voters	499
-0.00034027220213	-0.00107087055328	4	The Editorial Board	http://www.nytimes.com/2016/03/27/opinion/sunday/wall-streets-retreat-from-king-coal.html	 Wall Street’s Retreat From King Coal	472
0.0012809715365	0.0019518806156	6	Kaitlyn Greenidge	http://www.nytimes.com/2016/03/27/opinion/sunday/my-mothers-garden.html	My Mother’s Garden	1587
-0.00149280587088	0.00107397481165	2	Maureen Dowd	http://www.nytimes.com/2016/03/27/opinion/sunday/obamas-last-tango.html	Obama’s Last Tango	1167
0.000330281793058	0.0012254003457	7	Craig Fox	http://www.nytimes.com/2016/03/27/opinion/sunday/how-to-stop-overprescribing-antibiotics.html	How to Stop Overprescribing Antibiotics	919
0.000789782434639	-4.93303535322e-06	2	James Traub	http://www.nytimes.com/2016/03/27/opinion/sunday/call-it-what-it-is-a-rabble.html	Call It What It Is: A Rabble	728
