Component 1	Component 2	Topic ID	Author	URL	Title	Share Count
-0.000343677815038	-0.00359875811206	New York	The Editorial Board	http://www.nytimes.com/2016/03/31/opinion/an-austerity-plan-that-would-punish-the-city.html	An Austerity Plan That Would Punish the City	135
8.73543609737e-05	-0.000835243046984	Police and crime	The Editorial Board	http://www.nytimes.com/2016/03/31/opinion/the-clemency-backlog-continues.html	The Clemency Backlog Continues	145
0.000260636780746	-0.00165494916353	Government	The Editorial Board	http://www.nytimes.com/2016/03/31/opinion/a-marred-election-in-the-republic-of-congo.html	A Marred Election in the Republic of Congo	466
-0.00237711824354	-0.000801111084196	Domestic politics	Thomas Edsall	http://www.nytimes.com/2016/03/30/opinion/campaign-stops/who-are-the-angriest-republicans.html	Who Are the Angriest Republicans?	1494
-0.000498323226507	-0.00131037138334	Courts and law	The Editorial Board	http://www.nytimes.com/2016/03/30/opinion/unions-win-but-the-court-is-still-hobbled.html	Unions Win, but the Court Is Still Hobbled	114
0.00357086175831	0.0010474736089	Foreign policy	Abdu Mansour	http://www.nytimes.com/2016/03/30/opinion/yemens-president-a-path-to-peace.html	Yemen’s President: A Path to Peace	211
-0.00300472804461	-0.0020217226987	Domestic politics	Emma Roller	http://www.nytimes.com/2016/03/29/opinion/campaign-stops/the-league-of-mens-voters.html	The League of Men Voters	413
-0.000161901672821	0.000403218227896	Government	David Brooks	http://www.nytimes.com/2016/03/29/opinion/the-sexual-politics-of-2016.html	The Sexual Politics of 2016	8816
-0.00200138435711	0.00111709283778	Police and crime	Tash Aw	http://www.nytimes.com/2016/03/29/opinion/malaysias-immigrant-worker-debate.html	Malaysia’s Immigrant Worker Debate	88
-0.00234338207267	-0.000267065497668	Domestic politics	Charles Blow	http://www.nytimes.com/2016/03/28/opinion/republican-self-destruction.html	Republican Self-Destruction	675
-0.000711338489615	0.000777553789386	Health care	The Editorial Board	http://www.nytimes.com/2016/03/28/opinion/the-state-assault-on-planned-parenthood.html	The State Assault on Planned Parenthood	1429
0.00149278259533	0.00177275837952	Courts and law	The Editorial Board	http://www.nytimes.com/2016/03/28/opinion/a-modern-system-of-debtor-prisons.html	A Modern System of Debtor Prisons	936
-0.00381294937535	0.000942961817593	Domestic politics	Orrin Hatch	http://www.nytimes.com/2016/03/28/opinion/let-voters-decide-the-courts-future.html	Let Voters Decide the Court’s Future	476
